Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill,totalAppliances,CostPerAppliance
16,23.0,2.0,6.0,1.0,0,10,5,27,384,8.4,3225.6000000000004,48.0,67.2
19,22.0,2.0,3.0,1.0,0,5,15,13,488,7.8,3806.4,47.0,80.9872340425532
7,20.0,2.0,6.0,7.0,0,7,14,8,416,7.7,3203.2000000000003,42.0,76.26666666666668
7,22.0,3.0,21.0,1.0,0,6,7,19,475,9.2,4370.0,54.0,80.92592592592592
11,23.0,2.0,11.0,1.0,0,2,7,20,457,9.2,4204.4,48.0,87.59166666666665
13,22.0,0.0,18.0,1.0,0,6,13,0,471,7.4,3485.4,54.0,64.54444444444445
23,22.0,3.0,20.0,12.0,0,5,10,10,755,8.5,6417.5,80.0,80.21875
22,23.0,0.0,21.0,1.0,0,12,10,0,492,8.5,4182.0,67.0,62.417910447761194
8,20.0,2.0,8.0,1.0,0,8,10,18,546,8.5,4641.0,39.0,119.0
10,23.0,0.0,18.0,7.0,0,1,2,25,578,7.6,4392.8,58.0,75.73793103448276
16,22.0,3.0,14.0,1.0,0,6,0,16,450,7.9,3555.0,56.0,63.482142857142854
5,19.0,2.0,20.0,1.0,0,12,7,25,493,9.2,4535.599999999999,47.0,96.50212765957446
10,23.0,1.0,22.0,1.0,0,9,5,9,492,8.4,4132.8,57.0,72.50526315789475
11,22.0,3.0,19.0,1.0,0,11,0,5,565,7.9,4463.5,56.0,79.70535714285714
18,22.0,1.0,3.0,12.0,0,7,11,31,414,8.2,3394.7999999999997,56.0,60.62142857142857
21,23.0,3.0,5.0,1.0,0,12,8,1,594,8.9,5286.6,53.0,99.74716981132076
9,21.0,3.0,6.0,1.0,0,2,1,24,349,8.8,3071.2000000000003,40.0,76.78
17,22.0,0.0,3.0,1.0,0,4,2,27,355,7.6,2698.0,43.0,62.74418604651163
12,23.0,0.0,18.0,1.0,0,3,10,16,467,8.5,3969.5,54.0,73.50925925925925
13,22.0,1.0,21.0,12.0,0,11,10,12,646,8.5,5491.0,69.0,79.57971014492753
23,23.0,0.0,15.0,1.0,0,8,7,25,476,9.2,4379.2,62.0,70.63225806451612
20,22.0,3.0,7.0,12.0,0,2,13,11,659,7.4,4876.6,64.0,76.196875
23,22.0,2.0,14.0,1.0,0,7,3,4,631,8.1,5111.099999999999,62.0,82.43709677419353
9,22.0,3.0,3.0,1.0,0,4,3,8,395,8.1,3199.5,38.0,84.19736842105263
19,22.0,2.0,11.0,1.0,0,3,11,4,480,8.2,3935.999999999999,55.0,71.56363636363635
19,23.0,0.0,21.0,1.0,0,12,8,28,678,8.9,6034.2,64.0,94.284375
22,23.0,2.0,11.0,1.0,0,8,3,21,664,8.1,5378.4,59.0,91.1593220338983
7,22.0,2.0,16.0,1.0,0,8,8,3,515,8.9,4583.5,48.0,95.48958333333333
21,22.0,0.0,19.0,1.0,0,7,3,21,509,8.1,4122.9,63.0,65.44285714285714
23,22.0,0.0,17.0,1.0,0,9,3,15,679,8.1,5499.9,63.0,87.3
23,23.0,3.0,18.0,1.0,0,4,5,9,564,8.4,4737.6,68.0,69.67058823529412
23,23.0,0.0,9.0,1.0,0,4,7,12,412,9.2,3790.4,56.0,67.68571428571428
18,22.0,2.0,18.0,1.0,0,12,3,15,468,8.1,3790.8,61.0,62.14426229508197
11,23.0,0.0,20.0,1.0,0,8,6,11,452,8.7,3932.4,55.0,71.49818181818182
5,21.0,3.0,17.0,1.0,0,10,12,3,447,9.1,4067.7,47.0,86.5468085106383
13,22.0,3.0,6.0,1.0,0,10,10,25,361,8.5,3068.5,45.0,68.18888888888888
14,22.0,2.0,4.0,1.0,0,2,4,17,442,8.3,3668.6,43.0,85.31627906976745
7,20.0,0.0,18.0,1.0,0,1,11,16,307,8.2,2517.3999999999996,46.0,54.72608695652173
15,22.0,0.0,20.0,1.0,0,10,11,3,494,8.2,4050.8,58.0,69.84137931034483
22,22.0,3.0,17.0,1.0,0,4,12,2,699,9.1,6360.9,65.0,97.86
6,23.0,2.0,16.0,1.0,0,6,14,12,549,7.7,4227.3,48.0,88.06875000000001
8,17.0,3.0,5.0,1.0,0,7,4,23,385,8.3,3195.5000000000005,34.0,93.98529411764707
9,22.0,0.0,10.0,7.0,0,12,10,18,491,8.5,4173.5,48.0,86.94791666666667
10,21.0,1.0,22.0,1.0,0,6,2,16,646,7.6,4909.599999999999,55.0,89.26545454545453
12,23.0,2.0,9.0,1.0,0,6,8,3,546,8.9,4859.400000000001,47.0,103.39148936170214
21,23.0,2.0,6.0,1.0,0,6,15,22,636,7.8,4960.8,53.0,93.60000000000001
19,22.0,0.0,10.0,12.0,0,2,6,6,401,8.7,3488.7,63.0,55.37619047619047
8,22.0,2.0,8.0,1.0,0,7,2,3,360,7.6,2736.0,41.0,66.73170731707317
13,22.0,2.0,8.0,1.0,0,9,15,25,539,7.8,4204.2,46.0,91.39565217391304
14,22.0,2.0,6.0,12.0,0,7,9,23,577,9.3,5366.1,56.0,95.82321428571429
5,23.0,3.0,15.0,1.0,0,5,10,26,673,8.5,5720.5,47.0,121.7127659574468
5,21.0,0.0,15.0,1.0,0,10,6,6,443,8.7,3854.1,42.0,91.7642857142857
11,22.0,1.0,7.0,1.0,0,11,4,26,398,8.3,3303.4,42.0,78.65238095238095
13,22.0,1.0,4.0,12.0,0,1,9,19,653,9.3,6072.900000000001,52.0,116.78653846153847
7,21.0,0.0,3.0,1.0,0,12,5,29,421,8.4,3536.4,32.0,110.5125
10,19.0,0.0,3.0,1.0,0,6,1,15,421,8.8,3704.8,33.0,112.26666666666667
15,22.0,2.0,16.0,1.0,0,4,1,25,650,8.8,5720.000000000001,56.0,102.14285714285715
18,22.0,2.0,15.0,1.0,0,6,0,18,484,7.9,3823.6,58.0,65.92413793103448
22,23.0,2.0,21.0,1.0,0,6,11,24,737,8.2,6043.4,69.0,87.5855072463768
18,22.0,2.0,10.0,1.0,0,2,7,22,405,9.2,3725.999999999999,53.0,70.30188679245282
7,23.0,3.0,11.0,1.0,0,4,5,10,458,8.4,3847.2,45.0,85.49333333333333
16,22.0,1.0,11.0,1.0,0,8,2,15,466,7.6,3541.6,51.0,69.44313725490196
14,23.0,1.0,13.0,1.0,0,8,5,0,456,8.4,3830.4,52.0,73.66153846153847
15,22.0,3.0,9.0,1.0,0,4,7,7,394,9.2,3624.8,50.0,72.49600000000001
8,22.0,1.0,5.0,1.0,0,10,11,22,263,8.2,2156.6,37.0,58.28648648648648
10,18.0,2.0,9.0,1.0,0,7,7,20,490,9.2,4508.0,40.0,112.7
8,19.0,2.0,20.0,1.0,0,12,14,21,476,7.7,3665.2,50.0,73.304
19,22.0,1.0,3.0,1.0,0,5,14,25,577,7.7,4442.900000000001,46.0,96.58478260869566
7,23.0,0.0,17.0,1.0,0,3,15,1,533,7.8,4157.4,48.0,86.6125
16,23.0,1.0,16.0,1.0,0,7,9,31,495,9.3,4603.5,57.0,80.76315789473684
8,23.0,0.0,4.0,1.0,0,8,14,8,399,7.7,3072.3,36.0,85.34166666666667
12,22.0,0.0,14.0,12.0,0,10,6,9,604,8.7,5254.799999999999,60.0,87.57999999999998
18,22.0,3.0,9.0,1.0,0,9,6,10,653,8.7,5681.099999999999,53.0,107.19056603773583
19,23.0,2.0,14.0,1.0,0,11,11,26,512,8.2,4198.4,59.0,71.1593220338983
7,22.0,2.0,11.0,7.0,0,8,11,17,468,8.2,3837.599999999999,49.0,78.31836734693876
19,22.0,3.0,11.0,1.0,0,4,6,17,563,8.7,4898.099999999999,56.0,87.46607142857142
17,23.0,1.0,12.0,1.0,0,9,6,8,496,8.7,4315.2,54.0,79.91111111111111
20,23.0,0.0,15.0,1.0,0,10,5,30,500,8.4,4200.0,59.0,71.1864406779661
21,22.0,1.0,8.0,1.0,0,12,5,18,502,8.4,4216.8,53.0,79.5622641509434
9,23.0,3.0,14.0,1.0,0,6,14,24,616,7.7,4743.2,50.0,94.86399999999999
13,23.0,3.0,8.0,12.0,0,8,3,16,589,8.1,4770.9,59.0,80.86271186440678
7,20.0,2.0,12.0,7.0,0,6,5,11,595,8.4,4998.0,48.0,104.125
9,23.0,3.0,17.0,7.0,0,9,0,23,487,7.9,3847.3,59.0,65.20847457627119
21,22.0,0.0,9.0,1.0,0,3,13,24,512,7.4,3788.8,53.0,71.48679245283019
22,22.0,3.0,9.0,1.0,0,2,7,13,405,9.2,3725.999999999999,57.0,65.36842105263156
8,18.0,3.0,19.0,1.0,0,11,5,21,388,8.4,3259.2000000000003,49.0,66.51428571428572
6,22.0,3.0,10.0,1.0,0,1,7,12,437,9.2,4020.4,42.0,95.72380952380952
20,23.0,3.0,5.0,1.0,0,3,10,11,656,8.5,5576.0,52.0,107.23076923076923
7,21.0,0.0,4.0,1.0,0,12,5,29,300,8.4,2520.0,33.0,76.36363636363636
6,18.0,2.0,7.0,7.0,0,9,2,18,523,7.6,3974.8,40.0,99.37
14,23.0,2.0,4.0,1.0,0,7,5,11,565,8.4,4746.0,44.0,107.86363636363636
17,22.0,1.0,6.0,1.0,0,6,14,11,561,7.7,4319.7,47.0,91.90851063829787
20,23.0,3.0,11.0,1.0,0,7,7,16,628,9.2,5777.599999999999,58.0,99.61379310344827
11,23.0,3.0,8.0,1.0,0,11,11,9,560,8.2,4592.0,46.0,99.82608695652173
13,22.0,0.0,7.0,1.0,0,8,5,2,425,8.4,3570.0,43.0,83.02325581395348
14,22.0,2.0,14.0,12.0,0,2,15,31,632,7.8,4929.599999999999,64.0,77.02499999999999
